customer_id,first_name,last_name,gender,email,phone_number,birthdate,address,city,country,plan,status,signup_date,last_purchase,total_orders,total_spent
29,Allison,Harrison,Non-binary,ronnie87@example.net,001-630-666-5132,1977-02-12,8292 Davidson Loaf Suite 285,Finleyberg,Faroe Islands,Enterprise,Churned,2023-01-07,2025-02-18,12,12805.96
30,Jeffrey,Mcgrath,Male,jennifer41@example.org,(349)676-9041x807,1984-07-23,7931 Wilson Shore,North Russell,Trinidad and Tobago,Free,Churned,2023-04-13,2024-06-06,89,11314.66
31,Juan,Silva,Male,david31@example.com,001-493-671-6239x1581,1970-09-12,35107 Holmes Turnpike,Richardfort,Gibraltar,Premium,Inactive,2024-04-22,2025-10-18,33,13810.54
32,Brenda,Scott,Female,emercado@example.com,207.770.4048,1958-05-30,14834 Jordan Drive Suite 048,Brycebury,Holy See (Vatican City State),Premium,Churned,2023-12-09,2024-12-21,81,3458.77
33,Ronnie,Rivera,Female,leahthomas@example.net,001-368-931-9825x96191,1980-08-15,2537 Michelle Mountain Suite 641,West Ashleyborough,Cook Islands,Premium,Churned,2024-06-01,2024-11-20,78,14269.85
34,Sarah,Zhang,Female,yrose@example.net,899.784.0877x70311,1992-06-06,772 Charlotte Mission,Wandaberg,Monaco,Enterprise,Inactive,2024-02-12,2025-10-13,80,5738.13
35,Amanda,Webster,Female,pamelahodges@example.net,001-831-968-4168x6049,1988-01-23,232 Katherine Point Suite 430,Port Louisstad,Spain,Enterprise,Inactive,2025-07-31,2026-01-20,10,10114.24
36,Heather,Beck,Female,browndavid@example.org,(531)579-2230,1979-10-01,375 Conrad Crest Suite 840,East Albert,Madagascar,Free,Churned,2026-02-23,2026-04-26,29,12825.79
37,Traci,Hanna,Female,jennifer01@example.net,740-979-0686x79225,1967-08-06,6164 Johnson Land,South Lisaburgh,Heard Island and McDonald Islands,Enterprise,Churned,2023-08-01,2023-11-06,110,6161.31
38,Valerie,Baker,Female,chelsea52@example.com,001-837-793-9739x372,1972-06-16,403 Huynh Hill,Mackville,Tajikistan,Enterprise,Active,2024-12-15,2025-03-26,13,1713.28
39,Kelly,Herrera,Female,jameswatts@example.org,+1-880-580-5959x20073,1964-01-15,63435 Williams Light Apt. 187,South Elizabethville,Burkina Faso,Enterprise,Inactive,2023-07-15,2026-01-04,24,9915.95
40,Jay,Webster,Female,valerielambert@example.org,(771)931-6702x06762,2000-12-12,72877 Stephanie Flat Suite 666,Lake Susan,Eritrea,Free,Churned,2026-07-23,2026-07-25,40,11780.09
41,Zachary,Peters,Female,jacobskinner@example.org,210-887-2279x57358,1996-04-26,12993 Cantrell Bypass Suite 226,Gonzalezborough,French Guiana,Premium,Active,2024-11-06,2025-06-01,54,586.75
42,Juan,Moran,Non-binary,jhansen@example.net,984.361.6540,1956-01-15,0329 Sarah Extensions Suite 149,Rodriguezmouth,Belize,Enterprise,Active,2023-11-27,2024-11-20,109,6487.52
43,Daniel,Stein,Male,garrett88@example.org,944.865.9372x8942,1988-06-24,871 Keith Stream,Nelsonshire,Guadeloupe,Free,Churned,2025-02-04,2025-08-27,93,2131.69
44,Tracy,Hunt,Non-binary,tamara49@example.net,952.521.8897x94252,1991-02-26,089 Matthew Square,Adamview,Northern Mariana Islands,Basic,Churned,2023-03-09,2025-12-09,62,11586.22
45,Carol,Taylor,Male,johnstonedward@example.com,4519260653,1994-06-07,27122 Howard Walk,Fritzport,Mauritania,Enterprise,Churned,2025-11-09,2026-04-09,26,13212.65
46,Maria,Leonard,Non-binary,sjohnson@example.net,632-543-1988x01589,1962-06-11,6315 Brooke Manor,New Michaeltown,Libyan Arab Jamahiriya,Enterprise,Inactive,2023-06-02,2026-04-30,3,10356.79
47,Brandy,Schneider,Female,marshalex@example.com,5249396196,1992-01-12,198 Ho Springs,East Michelleport,Equatorial Guinea,Premium,Active,2023-06-11,2025-07-08,89,8714.56
48,Catherine,Jenkins,Male,erin12@example.org,(389)665-1533x82170,1978-12-10,37084 Price Valleys Apt. 862,West Keith,Mexico,Enterprise,Inactive,2024-03-12,2025-02-09,39,13779.65
49,Elizabeth,Johnson,Male,syoung@example.org,601.914.1246x230,1998-05-03,0474 Charlotte Turnpike,New Mary,Saint Lucia,Enterprise,Active,2026-05-07,2026-05-15,23,11086.78
50,Donna,Mckay,Female,amanda73@example.org,001-515-579-3828x4500,2008-02-13,996 Hill Drive,North Andreafort,Montserrat,Basic,Churned,2024-08-29,2026-03-23,6,4616.66
51,Lisa,Blackwell,Female,tracy48@example.com,(303)478-2682,1985-07-11,06487 Fuller Burg,North Ashley,Hong Kong,Premium,Inactive,2022-11-28,2025-01-21,86,10518.37
52,Anthony,Smith,Female,john93@example.net,001-606-589-6591x2570,1961-03-10,256 Anna Keys,Jeanneburgh,Slovakia (Slovak Republic),Enterprise,Inactive,2023-01-16,2026-04-10,10,3516.39
53,Timothy,Mcguire,Female,chelsea04@example.net,+1-548-783-6128x3155,1991-01-20,0759 Donovan Harbors Apt. 878,North Susanbury,Netherlands Antilles,Free,Active,2023-06-08,2025-10-15,67,2125.55
54,Samantha,Johnson,Female,gregorysanchez@example.com,5939594652,1957-11-25,09972 Curtis Drive,Monicaland,Nauru,Free,Churned,2026-05-07,2026-06-25,15,1280.04
55,Laura,Riddle,Female,zimmermanjason@example.com,(683)778-8952x105,1982-01-12,439 Amy River Suite 270,Torresfurt,Saint Kitts and Nevis,Premium,Active,2025-07-21,2025-08-26,80,8015.41
56,Ebony,Carpenter,Male,nicolenguyen@example.net,001-771-663-9398x043,1978-11-26,35186 Ayala Turnpike,Guzmanshire,Svalbard & Jan Mayen Islands,Free,Active,2024-07-18,2024-09-23,18,11227.82
57,Maria,Robinson,Non-binary,mcdanielhaley@example.net,+1-882-872-7907x48804,1987-12-12,63321 Wendy Parkway Apt. 691,South Michaeltown,Tokelau,Enterprise,Inactive,2023-04-27,2023-08-14,11,2831.96
58,Danny,Mann,Male,zgilbert@example.org,(827)970-6789x470,1971-03-10,41028 Manuel Harbors Apt. 970,West Bryan,Romania,Free,Inactive,2024-02-24,2026-02-09,62,7634.4
59,Valerie,Pham,Non-binary,judithpoole@example.org,+1-876-350-5900,1999-05-19,6022 Yvonne Vista Apt. 095,Gonzalezchester,Montenegro,Enterprise,Active,2023-05-12,2025-07-01,106,5798.74
60,Danielle,Ramirez,Male,dylan46@example.com,842.684.3991x813,1996-06-20,7901 Amy Hills Apt. 085,Port Kennethchester,Brunei Darussalam,Enterprise,Active,2022-07-30,2024-06-10,3,14172.7
61,Amber,Walsh,Non-binary,snowangela@example.com,+1-352-618-8111x82898,1963-06-14,69953 Robin Turnpike,Hannahton,Somalia,Basic,Churned,2025-09-15,2026-05-30,78,493.59
62,Matthew,Carr,Non-binary,jose27@example.com,+1-847-268-4755x140,1976-05-25,448 Henry Drives,South Sharon,Saint Pierre and Miquelon,Basic,Churned,2024-06-14,2026-03-27,108,11690.68
63,Jean,Mclaughlin,Non-binary,rodriguezanthony@example.com,828.711.6371x739,1981-10-01,64571 Hughes Flats,North Brittany,Uruguay,Free,Inactive,2025-01-13,2026-07-14,107,3543.0
64,Randy,Orr,Male,ngarcia@example.net,(654)288-3064x8155,1970-01-01,4518 Page Flats Suite 954,Gordonport,Italy,Free,Churned,2022-10-22,2024-07-05,32,4897.55
65,Susan,Garrett,Female,amybush@example.com,(718)521-8015x9722,2006-03-23,6411 Edwards Circle Suite 639,Port Margaretport,Ethiopia,Basic,Inactive,2023-11-24,2024-03-16,40,9915.08
66,Ryan,Stevenson,Male,wjones@example.com,001-247-775-9240x539,1965-08-04,5024 Shelly Summit Apt. 498,Salazarside,Hungary,Enterprise,Inactive,2024-02-13,2026-07-25,56,1474.5
67,Henry,Brooks,Female,ramossharon@example.org,+1-590-509-7528,1973-02-28,600 Robin Track Apt. 586,South Albert,Marshall Islands,Enterprise,Inactive,2026-07-18,2026-07-21,29,9287.26
68,Raymond,Butler,Non-binary,michaelberger@example.com,390-739-5560,2001-03-23,3100 Meghan Road,East Sarah,Burundi,Free,Inactive,2025-02-17,2025-09-08,6,1053.85
69,Kelly,Miller,Non-binary,jonathanhebert@example.org,+1-944-850-7826x427,1966-05-04,29890 Neal Route Apt. 281,West Maria,Ghana,Premium,Active,2024-05-29,2025-04-11,75,14858.48
70,Angela,Fletcher,Male,howardangela@example.net,9676807813,1964-11-16,87988 Cindy Junction Apt. 334,Port Barbara,Lithuania,Basic,Churned,2024-06-19,2025-04-09,100,7893.09
71,Jose,Garcia,Female,hubbardsarah@example.com,001-999-267-0575x622,1960-10-25,47047 Harrison Mount Suite 662,South John,American Samoa,Enterprise,Inactive,2022-12-18,2024-05-29,38,13675.46
72,Alejandra,Hernandez,Male,leslie43@example.org,7145803490,1973-06-17,5040 Melissa Islands Apt. 960,Ethanfurt,Andorra,Enterprise,Active,2026-07-19,2026-07-21,11,683.14
73,Leon,Reed,Non-binary,moorejane@example.net,+1-564-207-4324x914,2001-03-20,9926 Jones Summit Suite 282,Youngburgh,Mayotte,Enterprise,Churned,2022-09-22,2026-03-25,63,13748.26
74,Dylan,Rose,Non-binary,randolphtamara@example.com,+1-582-313-2000x121,1985-04-14,20272 Thomas Fork Apt. 305,New Juanside,Saint Helena,Premium,Active,2026-03-06,2026-06-27,9,9191.29
75,Tiffany,Young,Non-binary,john51@example.com,(859)224-9900x39508,1984-12-03,67899 Andrea Ports,Stewartstad,Comoros,Enterprise,Active,2023-03-15,2026-02-03,59,7318.63
76,Joyce,Wolf,Female,ofields@example.org,604-289-1955,1957-09-23,684 Robinson Row,Lake Keith,Albania,Premium,Churned,2023-04-20,2023-12-16,108,4271.69
77,Ashley,Bryant,Male,christinaevans@example.net,256-953-5868x633,1994-05-07,8225 Joshua Rest,Lindseyview,Yemen,Basic,Active,2023-06-07,2025-05-22,86,5239.56
78,Angela,Crawford,Male,millerjason@example.com,(941)937-5787x24649,2008-06-18,9942 Dana Forest Suite 226,South Dwayne,Switzerland,Basic,Churned,2024-08-13,2025-11-25,34,1522.76
79,Michael,Gonzalez,Female,david07@example.net,859.265.1804,1992-05-22,931 Farley Rapid,Port Adammouth,Comoros,Premium,Active,2024-11-14,2025-09-30,95,448.51
80,Shannon,Clark,Female,robin28@example.com,(256)409-7227,1980-10-30,145 Melanie Pike,Brendanburgh,Belize,Basic,Inactive,2025-02-18,2025-06-29,19,8376.43
81,Brady,Smith,Male,wilsonchristopher@example.com,287.248.7877x62815,2006-03-21,94570 Samantha Parks Suite 496,East Emilyberg,Cape Verde,Premium,Churned,2025-07-25,2026-06-17,11,11666.71
82,Kiara,Gomez,Male,fbailey@example.org,9472105692,2007-09-20,46275 Holmes Gardens Suite 165,Christopherfurt,Norfolk Island,Enterprise,Active,2026-05-20,2026-07-20,50,10461.78
83,Lindsay,Bowman,Non-binary,gregory56@example.net,980-306-4913x530,1976-07-16,7310 John Oval,Port Adamchester,Bosnia and Herzegovina,Free,Inactive,2024-09-12,2024-11-30,23,3832.64
84,Jennifer,Hill,Male,waltersrobert@example.net,681.467.8384,2001-04-16,6547 Whitehead Green Suite 681,Lake John,Kazakhstan,Free,Active,2025-08-08,2026-03-18,1,3515.5
85,Shannon,Chaney,Female,martinezdaniel@example.net,(604)916-6675x385,2003-03-29,712 Cole Spur Suite 771,Russellbury,Belarus,Enterprise,Active,2024-06-23,2025-03-05,84,11012.59
86,Andrew,Garcia,Female,rayperez@example.com,9307101600,1970-05-27,3549 Drew Canyon Suite 499,Barbaraland,Kuwait,Free,Active,2026-06-26,2026-07-25,117,3640.61
87,Keith,Rosario,Female,cuevasadam@example.org,730-550-1420,1992-11-14,89067 Goodwin Grove Apt. 142,Melaniefort,Montenegro,Free,Churned,2024-07-01,2025-02-17,31,1002.21
88,John,Steele,Female,lisa30@example.org,001-907-500-3478,1959-01-29,43780 Luis Harbor Apt. 931,Justinton,Burkina Faso,Basic,Churned,2025-10-21,2025-12-15,95,9517.08
89,Dylan,Harris,Non-binary,kathy70@example.org,(209)583-4997,2000-11-27,8247 Jordan Prairie,Brooksville,Bangladesh,Basic,Active,2023-04-30,2026-04-17,45,3163.92
90,Kimberly,Davenport,Non-binary,patriciaodom@example.net,001-918-521-3595,1978-01-14,59066 Matthew Lights,Hoffmanhaven,Tunisia,Premium,Active,2025-08-21,2026-01-09,48,11809.91
91,Jake,Adams,Female,rsloan@example.net,6106748934,1983-06-01,529 Decker Spurs Suite 854,Valdezside,Holy See (Vatican City State),Enterprise,Inactive,2024-11-04,2025-08-06,66,5487.83
92,Sheryl,Clark,Non-binary,howedylan@example.net,+1-372-410-6327x69681,1992-01-09,192 Hayes Bypass Apt. 876,Christophershire,Vanuatu,Premium,Churned,2026-06-09,2026-06-28,24,8593.88
93,Steven,Turner,Non-binary,angelamitchell@example.com,(364)417-3287,1988-12-24,089 Andrea Centers Apt. 302,Lake Rhonda,Bosnia and Herzegovina,Enterprise,Inactive,2026-06-13,2026-07-18,108,6731.27
94,Patty,Whitney,Female,tburke@example.com,3013999136,1970-08-25,098 William Pine Apt. 827,Ashleyside,Western Sahara,Free,Inactive,2024-05-03,2025-03-28,49,7652.11
95,Julie,Short,Non-binary,uramsey@example.com,971-831-5394x33759,2007-04-01,22243 Baker Way Apt. 683,Romeromouth,Tokelau,Basic,Active,2024-12-02,2026-02-23,11,6149.5
96,Kyle,Riley,Male,ddavis@example.com,975-382-5461,1956-05-29,227 Nelson Rest,Vickiville,Belarus,Free,Inactive,2024-10-29,2024-11-10,57,13971.04
97,Kenneth,Allison,Non-binary,hellis@example.org,3528187341,1976-04-21,7566 Blevins Light,Russellchester,New Caledonia,Premium,Churned,2022-11-12,2022-12-04,43,13600.75
98,Christopher,Bean,Female,lorettanelson@example.net,+1-217-847-7769x84109,1964-10-13,81080 Hunt Locks,Hodgetown,Korea,Premium,Churned,2026-01-06,2026-02-22,73,5050.49
99,Deborah,Vasquez,Female,imaxwell@example.com,718-522-7443x2713,1970-06-11,91097 Smith Lake Suite 616,Lake Angela,Liechtenstein,Basic,Inactive,2025-04-24,2026-02-03,14,1652.87
100,Michelle,Baker,Female,orodriguez@example.com,374-797-8873,2004-09-12,340 David Points,Victoriabury,Bulgaria,Premium,Churned,2026-02-09,2026-02-25,49,8829.94
101,Jessica,Powell,Female,matthewcoleman@example.org,941.970.1979x8534,1998-01-01,6457 Robinson Burgs,Joshuaton,Guatemala,Free,Active,2025-12-14,2026-02-13,93,6528.57
102,Kevin,Brown,Non-binary,kellycatherine@example.com,(995)936-2756x9356,1975-10-28,9789 Brandon Path Apt. 155,Port Patrickburgh,Belize,Enterprise,Churned,2025-05-14,2026-06-19,25,6152.58
103,Timothy,Harvey,Female,lauren47@example.com,+1-236-900-9519,2005-01-28,93969 Rebecca Road Apt. 314,Jimenezland,United States Virgin Islands,Basic,Churned,2024-04-30,2026-06-04,34,3853.65
104,Grace,Andrews,Male,matthewjones@example.com,001-571-722-8576x55382,1959-12-11,585 Karen Brook,Sierramouth,Niue,Free,Active,2023-12-01,2024-11-11,53,13474.12
105,Steven,Cole,Female,gmiller@example.org,838.712.6007x6921,1959-01-27,69698 Crystal Terrace,Donovanshire,Montenegro,Enterprise,Churned,2023-10-27,2026-06-20,81,3685.95
106,Theodore,Foster,Female,fdalton@example.net,3113375453,1984-12-05,2234 Mcclure Brook Apt. 458,North Hunterfort,Croatia,Basic,Inactive,2024-11-11,2025-06-16,58,3057.95
107,Thomas,Lopez,Male,doylejacob@example.org,+1-206-894-3302,2005-10-30,3583 Travis Flats Suite 939,Smithfurt,Sri Lanka,Enterprise,Churned,2023-12-22,2025-03-30,98,2294.39
108,Robert,Gilbert,Male,christinapowers@example.net,+1-851-232-9928,2005-05-15,162 Madden Parkway Apt. 967,Campbellmouth,Equatorial Guinea,Basic,Active,2024-08-04,2025-12-10,35,9853.48
109,Christopher,Larsen,Male,gregghorton@example.net,724-916-9881x53013,1999-12-11,1637 Gomez Stream Suite 434,North Debra,Bahamas,Enterprise,Inactive,2022-10-12,2023-10-14,57,4847.82
110,Keith,Jones,Non-binary,david26@example.net,(473)311-7159,1971-06-16,05397 Campbell Forges,East Mitchell,South Georgia and the South Sandwich Islands,Basic,Active,2024-05-30,2024-09-28,18,9912.97
111,Justin,Gardner,Male,dcontreras@example.net,001-729-205-7788,2002-08-26,156 Joshua Camp,Traceyside,Cape Verde,Basic,Inactive,2023-03-18,2024-07-27,55,5547.17
112,Emily,Solis,Female,ubranch@example.com,827.939.6687x449,1986-10-31,71311 Bates Ranch,Kyletown,Heard Island and McDonald Islands,Basic,Active,2026-06-22,2026-07-23,6,13040.43
113,Emily,Buckley,Female,marylong@example.com,+1-828-781-4669x62587,1988-03-23,823 Robert Crescent Suite 225,Lake Edward,Colombia,Premium,Active,2024-05-07,2024-12-30,105,6859.41
114,Bailey,Carrillo,Non-binary,njackson@example.org,606-624-7874,1994-10-29,31821 Vickie Terrace Suite 147,Elizabethmouth,Palestinian Territory,Free,Active,2023-12-01,2026-05-06,102,2723.78
115,Timothy,Walker,Female,allenkyle@example.org,+1-794-387-1828x9291,1964-04-22,849 Christine Glen Apt. 270,Pamelaport,Bhutan,Basic,Inactive,2023-11-21,2025-10-06,42,7857.43
116,Natasha,Crawford,Male,knelson@example.net,+1-312-931-9269x2951,1986-07-05,158 Martinez Track Suite 753,Hortonfurt,Latvia,Basic,Churned,2025-02-05,2026-06-24,98,5341.62
117,Hayley,Chambers,Male,eelliott@example.net,757-996-3579x7843,1971-08-29,954 Steven Forges Suite 534,New Angela,Colombia,Premium,Active,2026-05-03,2026-07-25,58,11836.95
118,Brenda,Joyce,Non-binary,hbrown@example.net,3306535006,1991-08-24,417 Gray Oval,Port Kelsey,Saint Helena,Basic,Churned,2025-10-02,2026-01-04,82,4878.48
119,Lindsay,Sims,Female,gravesjill@example.org,852-381-5595,1960-01-27,158 Julie Throughway,North Sarah,Yemen,Free,Inactive,2024-02-07,2026-07-25,55,1210.88
120,Robert,Simon,Non-binary,kjackson@example.org,514-641-9316x815,1970-04-05,50062 Tanya Place Suite 918,Fieldsbury,Nauru,Basic,Churned,2023-03-30,2024-10-31,80,11176.02
121,Jeffrey,Aguirre,Male,lopezthomas@example.org,5572340157,1966-09-15,3304 Christopher Lakes Suite 965,North Nicole,United States Virgin Islands,Enterprise,Inactive,2025-02-06,2026-07-14,107,10427.31
122,Jessica,Dominguez,Female,cherylgray@example.org,(981)653-4267x803,1972-11-26,2116 Erin Ramp Suite 456,Lake Benjaminmouth,Mauritius,Basic,Churned,2026-06-19,2026-07-12,11,12389.06
123,Haley,Wade,Non-binary,kenneththompson@example.com,+1-587-594-6783x26991,1973-06-11,05223 Wilcox Summit Suite 752,Berryside,Latvia,Enterprise,Churned,2025-07-06,2025-08-30,37,4686.09
124,James,Collins,Male,trujillocarla@example.net,(935)762-3169x8755,1963-03-16,41035 Turner Vista Suite 907,Townsendstad,Niue,Enterprise,Inactive,2023-08-26,2026-03-28,73,9554.82
125,Courtney,Shaffer,Non-binary,chapmanmatthew@example.net,448-471-4402x95481,1980-06-07,407 Jennifer Dale,Kemphaven,Angola,Premium,Churned,2023-04-27,2025-10-06,65,11379.79
126,Eric,Moody,Female,jaimeharper@example.org,+1-713-346-8218x3707,1995-10-10,690 Allen Centers Apt. 404,Solomonmouth,Morocco,Premium,Churned,2025-07-15,2026-04-08,75,8756.76
127,Tyler,Wood,Female,blakewhitaker@example.com,531-485-4527x15815,1996-12-29,005 Davis Center Suite 784,North Seanton,Peru,Enterprise,Active,2026-04-12,2026-05-01,16,6137.29
128,James,Cox,Female,amandabruce@example.net,(817)755-2864x24054,1974-01-26,13315 Jerry Oval,Nicholasburgh,Lebanon,Basic,Active,2025-03-31,2026-07-06,21,11228.23
129,Isaiah,Becker,Male,elizabeth68@example.net,001-929-717-3558x227,2008-04-05,35061 Jessica Cove Apt. 020,Seanburgh,Botswana,Free,Churned,2026-03-17,2026-06-16,97,10456.41
130,Joanne,Jacobson,Male,vasquezjennifer@example.com,834-676-3735,1999-01-24,72019 Sharp Alley Suite 007,Emilyburgh,Tonga,Basic,Active,2023-08-27,2025-06-10,109,11147.41
131,Diane,Foster,Non-binary,tiffany44@example.org,001-941-711-8459x428,1994-07-05,156 Smith Parkways,Justinmouth,Comoros,Free,Active,2024-05-24,2024-10-23,3,8189.19
132,James,Walker,Male,qhudson@example.net,001-545-335-3557x185,1975-11-30,11037 Danny Gardens Apt. 380,North Jessicafort,Gambia,Enterprise,Churned,2022-12-06,2026-04-16,70,2460.51
133,Amy,Taylor,Female,ronaldwebster@example.net,(619)742-1003,1973-02-28,822 Bauer Stream,North Erinhaven,Andorra,Premium,Inactive,2025-07-31,2026-06-21,83,2753.35
134,Kimberly,Gonzales,Non-binary,brettrodriguez@example.org,001-649-688-1032x1513,1996-10-31,42329 Aaron Mews Suite 702,East Lisaburgh,Taiwan,Basic,Active,2023-08-07,2025-07-09,82,8549.72
135,Grant,Mullins,Non-binary,jamesdebra@example.net,411-517-7970,2006-01-14,4505 Johnny Village Suite 656,Ballardfurt,Tuvalu,Enterprise,Churned,2025-10-19,2025-12-15,45,14686.73
136,Samuel,Hall,Female,newtonvalerie@example.com,586.256.8225,2000-07-23,08471 Moreno Valley Apt. 008,Benjaminbury,Australia,Enterprise,Inactive,2022-09-16,2025-04-14,51,3760.21
137,Lawrence,Franklin,Male,richard73@example.net,969-314-1953,1976-02-02,31754 Wang Cape Suite 366,Petersland,Liberia,Basic,Inactive,2025-11-12,2026-04-16,101,6209.38
138,Elijah,Gray,Female,adkinsjames@example.com,+1-897-556-1038x686,1985-10-27,15580 Megan Ranch,Lake Jermaineside,Antigua and Barbuda,Free,Inactive,2025-11-18,2026-03-24,106,1589.26
139,Patrick,Lopez,Non-binary,edward03@example.net,001-592-583-4090x34729,1975-05-11,936 Elizabeth Bridge Apt. 003,Robertside,United States of America,Basic,Inactive,2025-07-07,2025-11-22,89,7863.02
140,Timothy,Conley,Male,gilmoredouglas@example.com,(293)365-3708x4776,2000-09-09,083 Mitchell Valley Suite 813,Lake Autumn,Liechtenstein,Free,Active,2026-06-30,2026-07-16,48,4209.37
141,Marvin,Gomez,Female,allisonhumphrey@example.org,+1-649-319-7244x020,1970-12-09,7435 Anne Coves,East Kelsey,New Zealand,Free,Churned,2025-08-12,2026-03-08,35,2217.31
